I, [2015-02-24T07:37:21.466116 #14015]  INFO -- Kitchen: -----> Starting Kitchen (v1.3.1)
E, [2015-02-24T07:37:21.466382 #14015] ERROR -- Kitchen: ------Exception-------
E, [2015-02-24T07:37:21.466411 #14015] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2015-02-24T07:37:21.466511 #14015] ERROR -- Kitchen: Message: Kitchen YAML file /Users/nharris/demos/dev2prod15/cookbooks/.kitchen.yml does not exist.
E, [2015-02-24T07:37:21.466537 #14015] ERROR -- Kitchen: ------Backtrace-------
E, [2015-02-24T07:37:21.466551 #14015] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/loader/yaml.rb:74:in `read'
E, [2015-02-24T07:37:21.466562 #14015] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/config.rb:139:in `data'
E, [2015-02-24T07:37:21.466573 #14015] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/config.rb:118:in `suites'
E, [2015-02-24T07:37:21.466583 #14015] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/config.rb:169:in `filter_instances'
E, [2015-02-24T07:37:21.466593 #14015] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/config.rb:128:in `build_instances'
E, [2015-02-24T07:37:21.466603 #14015] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/config.rb:104:in `instances'
E, [2015-02-24T07:37:21.466613 #14015] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/command.rb:115:in `filtered_instances'
E, [2015-02-24T07:37:21.466623 #14015] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/command.rb:145:in `parse_subcommand'
E, [2015-02-24T07:37:21.466633 #14015] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/command/action.rb:38:in `block in call'
E, [2015-02-24T07:37:21.466643 #14015] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.1.0/benchmark.rb:279:in `measure'
E, [2015-02-24T07:37:21.466653 #14015] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/command/action.rb:37:in `call'
E, [2015-02-24T07:37:21.466663 #14015] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/cli.rb:56:in `perform'
E, [2015-02-24T07:37:21.466673 #14015] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/cli.rb:161:in `block (2 levels) in <class:CLI>'
E, [2015-02-24T07:37:21.466683 #14015] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2015-02-24T07:37:21.466716 #14015] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2015-02-24T07:37:21.466726 #14015] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/cli.rb:304:in `invoke_task'
E, [2015-02-24T07:37:21.466736 #14015] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2015-02-24T07:37:21.466745 #14015] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2015-02-24T07:37:21.466755 #14015] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/bin/kitchen:13:in `block in <top (required)>'
E, [2015-02-24T07:37:21.466765 #14015] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/errors.rb:154:in `with_friendly_errors'
E, [2015-02-24T07:37:21.466775 #14015] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/bin/kitchen:13:in `<top (required)>'
E, [2015-02-24T07:37:21.466784 #14015] ERROR -- Kitchen: /opt/chefdk/bin/kitchen:15:in `load'
E, [2015-02-24T07:37:21.466794 #14015] ERROR -- Kitchen: /opt/chefdk/bin/kitchen:15:in `<main>'
E, [2015-02-24T07:37:21.466803 #14015] ERROR -- Kitchen: ----------------------
